"family","canonical_instances","raw_files","normalized_source_instances","metadata_status","license_status","raw_acquired","v1_disposition"
"ABF2001","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"AG1986","0","1","0","bibliographic","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"AGK1984","0","1","0","bibliographic","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"BELVAUXWOLSEY","0","1","0","historical-data-location-missing","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"CATTRYSSE1990","120","125","0","UNCLASSIFIED","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"CHES","0","1","0","historical-data-location-missing","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"CLARKARMENTANO","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"CLSPPM","0","1","0","confirmed-public","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"DIABY1992","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"DIABYMARTEL1993","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"DJ2000","176","1","0","UNCLASSIFIED","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"DS1981","0","1","0","bibliographic","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"EM1987","17","18","0","acquisition-target","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"FLEISCHMANN","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"FLEISCHMANNMEYR","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"HAASE1996","0","1","0","generator-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"HAASEKIMMS","0","1","0","generator-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"KIMMS","0","1","0","generator-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"MAESVW","0","1","0","generator-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"MIPLIB_LOTSIZE","0","1","0","confirmed-public","NOT_RECORDED","False","DEFERRED_V2_LINEAGE_AUDIT"
"MULTILSB","0","135","120","official-raw-acquired-model-mapping-pending","CC BY 4.0","True","DEFERRED_V2_MODEL_EXTENSION"
"PHARMA2023","0","1","0","confirmed-open","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"SEANNER","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"STADTLER2003","2100","31907","0","public-source-confirmed","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"STOCHTIMING","0","1","0","confirmed-public","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"SUERIE_CLSPL","1291","15183","0","public-source-confirmed","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"TB2009","0","2","0","historical-download-url-known","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"TD1996","3450","3456","0","original-source-location-not-confirmed","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"TRIGEIRO1989","751","3043","0","UNCLASSIFIED","NOT_RECORDED","False","INCLUDED_V1_CANONICAL"
"TTM1989","0","1","0","confirmed-mirror","NOT_RECORDED","False","ALIAS_OF_TRIGEIRO1989_NO_SEPARATE_ADMISSION"
"WILLEMS","0","1","0","acquisition-target","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
"WW1958","0","1","0","bibliographic","NOT_RECORDED","False","DEFERRED_V2_ACQUISITION"
