"family","original_instance_id","subfamily","global_instance_id","canonical_xml_path","fingerprint","collision_scope"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501120","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501120","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501120.xml","SHA256-XML-1:2ED1BAE45A6CA859003994E3B91CE9EE4F327C1D3F26E9F7A1B2F4318E1AEBA8","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501120","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501120","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501120.xml","SHA256-XML-1:00D5820AC1BC68598EA8D89FB2EADF496A36976F5300CC8F8000F996963D487C","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501130","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501130","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501130.xml","SHA256-XML-1:B49B6C37B7AD0876A80B5C638F58B1E26B019889424DAC5C4767EBB1B1B2FAA3","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501130","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501130","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501130.xml","SHA256-XML-1:1C99635464B5ADE751524AA66AE7BB6EE88B1495274A8D0EF700BFB6674F2FAC","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501140","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501140","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501140.xml","SHA256-XML-1:9A9AE7CC5A44B2970D67A56CB814678AD3CCFB2A55ADA1BB12B330033625A6C1","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501140","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501140","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501140.xml","SHA256-XML-1:E4DD868885470E96B806C55B459DB6A98C7E57FEF80A67645ADD02C838CC3003","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501220","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501220","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501220.xml","SHA256-XML-1:CCF589B2DE322E361658A267E2B175055BE557A29B67C77868B44DD5C0FCC634","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501220","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501220","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501220.xml","SHA256-XML-1:2E011FFD6F15A86A94B2EB68775AF0A31A65D945861F8FF953AE51F98864DCD2","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501230","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501230","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501230.xml","SHA256-XML-1:76BB05643011B5698BB702841FCD791992C38965C39005F139AC11EA0216D5FE","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501230","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501230","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501230.xml","SHA256-XML-1:66976866C603F524567D30B0B8BAD04B24E9704E3CDBB776D91F6949D82CCF3C","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
