"family","canonical_instances","metadata_status","licence","release_action"
"ABF2001","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"AG1986","0","bibliographic","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"AGK1984","0","bibliographic","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"BELVAUXWOLSEY","0","historical-data-location-missing","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"CATTRYSSE1990","120","UNCLASSIFIED","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"CHES","0","historical-data-location-missing","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"CLARKARMENTANO","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"CLSPPM","0","confirmed-public","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"DIABY1992","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"DIABYMARTEL1993","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"DJ2000","176","UNCLASSIFIED","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"DS1981","0","bibliographic","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"EM1987","17","acquisition-target","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"FLEISCHMANN","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"FLEISCHMANNMEYR","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"HAASE1996","0","generator-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"HAASEKIMMS","0","generator-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"KIMMS","0","generator-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"MAESVW","0","generator-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"MIPLIB_LOTSIZE","0","confirmed-public","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"MULTILSB","0","official-raw-acquired-model-mapping-pending","CC BY 4.0","DEFERRED_WITH_FAMILY"
"PHARMA2023","0","confirmed-open","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"SEANNER","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"STADTLER2003","2100","public-source-confirmed","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"STOCHTIMING","0","confirmed-public","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"SUERIE_CLSPL","1291","public-source-confirmed","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"TB2009","0","historical-download-url-known","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"TD1996","3450","original-source-location-not-confirmed","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"TRIGEIRO1989","751","UNCLASSIFIED","NOT_RECORDED","DOCUMENT_BEFORE_PUBLICATION"
"TTM1989","0","confirmed-mirror","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"WILLEMS","0","acquisition-target","NOT_RECORDED","DEFERRED_WITH_FAMILY"
"WW1958","0","bibliographic","NOT_RECORDED","DEFERRED_WITH_FAMILY"
