"workstream","scope","blocker","available_assets","required_action","priority"
"FAMILY","ABF2001","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","AG1986","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","AGK1984","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","BELVAUXWOLSEY","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","CHES","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","CLARKARMENTANO","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","CLSPPM","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","DIABY1992","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","DIABYMARTEL1993","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","DS1981","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","FLEISCHMANN","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","FLEISCHMANNMEYR","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","HAASE1996","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","HAASEKIMMS","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","KIMMS","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","MAESVW","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","MIPLIB_LOTSIZE","EXACT_LINEAGE_AND_FORMAT_AUDIT","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","MULTILSB","SHARED_PRODUCTION_FAMILY_SETUP_MODEL","raw=135;normalized=120","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","HIGH"
"FAMILY","PHARMA2023","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","SEANNER","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","STOCHTIMING","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","TB2009","SOURCE_ACQUISITION","raw=2;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","WILLEMS","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"FAMILY","WW1958","SOURCE_ACQUISITION","raw=1;normalized=0","Resolve blocker, verify provenance and licence, convert losslessly, then run global admission gate.","MEDIUM"
"EVIDENCE","CATTRYSSE1990","120 complete solutions unavailable or unchecked","120 literature objective references","Acquire complete vectors and run Checker.","HIGH"
"EVIDENCE","TRIGEIRO1989","5 lower-bound references require primary-source reconciliation","5 documented claims","Reconcile semantics and provenance; do not promote without proof.","HIGH"
"EVIDENCE","DJ2000","96 feasible Checker-verified solutions lack optimality proof; 40 claims quarantined","109 checker reports","Preserve feasibility status and acquire proof certificates where possible.","MEDIUM"
