global_instance_id,planning_horizon,item_count,work_center_count
CATTRYSSE1990::CAT-SET1-50x8::TEST1,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST10,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST11,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST12,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST13,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST14,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST15,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST16,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST17,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST18,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST19,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST2,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST20,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST21,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST22,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST23,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST24,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST25,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST26,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST27,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST28,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST29,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST3,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST30,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST31,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST32,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST33,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST34,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST35,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST36,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST37,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST38,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST39,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST4,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST40,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST5,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST6,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST7,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST8,8,50,1
CATTRYSSE1990::CAT-SET1-50x8::TEST9,8,50,1
CATTRYSSE1990::CAT-SET2-20x20::TEST41,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST42,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST43,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST44,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST45,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST46,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST47,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST48,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST49,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST50,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST51,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST52,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST53,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST54,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST55,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST56,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST57,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST58,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST59,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST60,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST61,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST62,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST63,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST64,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST65,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST66,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST67,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST68,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST69,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST70,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST71,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST72,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST73,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST74,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST75,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST76,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST77,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST78,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST79,20,20,1
CATTRYSSE1990::CAT-SET2-20x20::TEST80,20,20,1
CATTRYSSE1990::CAT-SET3-8x50::TEST100,50,8,1
CATTRYSSE1990::CAT-SET3-8x50::TEST101,50,8,1
CATTRYSSE1990::CAT-SET3-8x50::TEST102,50,8,1
